disease,description
Flu,"Influenza (Flu) is a viral infection affecting the nose, throat, and lungs. Common symptoms include fever, cough, headache, fatigue, body pain, and sore throat."
Common Cold,"The common cold is a viral infection of the upper respiratory tract. Symptoms include cough, sore throat, runny nose, and mild fever."
Migraine,"Migraine is a neurological disorder that causes severe headaches, nausea, vomiting, and sensitivity to light or sound."
Food Poisoning,"Food poisoning occurs due to contaminated food or water. Symptoms include nausea, vomiting, diarrhea, stomach cramps, and weakness."
COVID-19,"COVID-19 is a contagious viral disease that mainly affects the respiratory system. Symptoms include fever, dry cough, fatigue, and loss of taste or smell."
Dengue,"Dengue is a mosquito-borne viral infection causing high fever, severe headache, joint pain, muscle pain, and skin rash."
Malaria,"Malaria is a mosquito-borne disease caused by parasites. Symptoms include fever, chills, sweating, headache, and fatigue."
Allergy,"Allergies occur when the immune system reacts to harmless substances. Symptoms may include sneezing, itching, rash, or watery eyes."
Asthma,"Asthma is a chronic lung disease causing difficulty in breathing, chest tightness, wheezing, and coughing."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing cough, fever, and difficulty breathing."